Date,Close Price
5/19/2014,59.9
5/20/2014,60.2
5/21/2014,62.25
5/22/2014,64.25
5/23/2014,65.4
5/26/2014,60.9
5/27/2014,59.35
5/28/2014,60
5/29/2014,58.9
5/30/2014,60.3
6/2/2014,61.75
6/3/2014,61.7
6/4/2014,62.9
6/5/2014,63.8
6/6/2014,63.75
6/9/2014,64.35
6/10/2014,63.4
6/11/2014,61.8
6/12/2014,61.8
6/13/2014,58.9
6/16/2014,58.7
6/17/2014,60.35
6/18/2014,59.1
6/19/2014,58.35
6/20/2014,58.75
6/23/2014,59
6/24/2014,60
6/25/2014,60.7
6/26/2014,60.5
6/27/2014,60.35
6/30/2014,62.55
7/1/2014,63.55
7/2/2014,65.35
7/3/2014,65.5
7/4/2014,65.5
7/7/2014,65.5
7/8/2014,59.9
7/9/2014,57.7
7/10/2014,59.5
7/11/2014,56.45
7/14/2014,57.2
7/15/2014,58.2
7/16/2014,59.5
7/17/2014,61.45
7/18/2014,60.55
7/21/2014,60.35
7/22/2014,60
7/23/2014,59.25
7/24/2014,57.95
7/25/2014,56.2
7/28/2014,56.05
7/30/2014,57.25
7/31/2014,56.55
8/1/2014,55.6
8/4/2014,56.25
8/5/2014,56.35
8/6/2014,56.75
8/7/2014,55.6
8/8/2014,53.35
8/11/2014,54.1
8/12/2014,54.05
8/13/2014,52.05
8/14/2014,53.55
8/18/2014,54
8/19/2014,55.05
8/20/2014,55.8
8/21/2014,55.35
8/22/2014,55.05
8/25/2014,52.8
8/26/2014,49.4
8/27/2014,48.75
8/28/2014,47.35
9/1/2014,50.15
9/2/2014,50.55
9/3/2014,49.45
9/4/2014,49.35
9/5/2014,49.1
9/8/2014,50.15
9/9/2014,50.7
9/10/2014,50
9/11/2014,51.2
9/12/2014,50.4
9/15/2014,50.5
9/16/2014,48.65
9/17/2014,49.2
9/18/2014,52.95
9/19/2014,51.4
9/22/2014,50.45
9/23/2014,47.7
9/24/2014,46.7
9/25/2014,42.65
9/26/2014,45.05
9/29/2014,44.5
9/30/2014,43.4
10/1/2014,43.2
10/7/2014,41.95
10/8/2014,42.7
10/9/2014,44.15
10/10/2014,42.8
10/13/2014,43.35
10/14/2014,43.3
10/16/2014,42.2
10/17/2014,42.75
10/20/2014,43.65
10/21/2014,44.8
10/22/2014,45.4
10/23/2014,45.9
10/27/2014,45.5
10/28/2014,45.85
10/29/2014,46
10/30/2014,45.75
10/31/2014,47.9
11/3/2014,49.15
11/5/2014,47.7
11/7/2014,47.65
11/10/2014,46.5
11/11/2014,46.65
11/12/2014,46.45
11/13/2014,45.2
11/14/2014,45.85
11/17/2014,47.3
11/18/2014,48.05
11/19/2014,46.35
11/20/2014,45.9
11/21/2014,45.35
11/24/2014,46.55
11/25/2014,45.2
11/26/2014,46.15
11/27/2014,45.75
11/28/2014,45.7
12/1/2014,44.35
12/2/2014,44.4
12/3/2014,45.6
12/4/2014,44.6
12/5/2014,44.5
12/8/2014,44.8
12/9/2014,43.5
12/10/2014,44.9
12/11/2014,44.35
12/12/2014,43.6
12/15/2014,43.3
12/16/2014,40.2
12/17/2014,40.1
12/18/2014,41.55
12/19/2014,42.15
12/22/2014,42.6
12/23/2014,41.45
12/24/2014,42.55
12/26/2014,42.75
12/29/2014,43.05
12/30/2014,44.35
12/31/2014,44.35
1/1/2015,44.2
1/2/2015,45.05
1/5/2015,45.1
1/6/2015,44.1
1/7/2015,44.1
1/8/2015,45.4
1/9/2015,44.7
1/12/2015,46.75
1/13/2015,45.45
1/14/2015,45.6
1/15/2015,45.95
1/16/2015,45.8
